SK_ID_CURR,TARGET
100001,0.08775037083164701
100005,0.16395691594367817
100013,0.11023764926710179
100028,0.07657538867236535
100038,0.154923961763379
100042,0.07490938135283065
100057,0.10707879260575526
100065,0.14412695141487275
100066,0.06166591829242641
100067,0.12066427808944137
100074,0.0913768822546762
100090,0.1445410549490163
100091,0.140283835387189
100092,0.13157598612195798
100106,0.18450510625686012
100107,0.1365742304947338
100109,0.13157989191839245
100117,0.10786973342596422
100128,0.08709031317306393
100141,0.11537790491698859
100150,0.08880691579547162
100168,0.09224531523996256
100169,0.06372529363754534
100170,0.10424587420415588
100171,0.1215960672029042
100172,0.15202423478347404
100184,0.10229484779177024
100187,0.08572973284655318
100212,0.10905645713633397
100222,0.11108083607632967
100223,0.07732911913587567
100232,0.09156341758513988
100241,0.1610017544433622
100245,0.09753623460501697
100253,0.07848608860729674
100256,0.11013331488977465
100271,0.07888839556066907
100278,0.12510612725109643
100280,0.08826328148445196
100306,0.1740423654173633
100311,0.13910434703001875
100312,0.09129249254010137
100330,0.09288517047473464
100331,0.11722485702936569
100352,0.12338529843413862
100358,0.1229092088040982
100367,0.11565558186944276
100382,0.10202412674487547
100384,0.08933214617331077
100385,0.13914184016452075
100386,0.11108385473080541
100399,0.09850860781424291
100404,0.08654212059681816
100416,0.09257878262978281
100422,0.15778375459668792
100426,0.0998212816733332
100438,0.08088568705526014
100444,0.13244149235160674
100445,0.1494743107919939
100446,0.13578574178876487
100447,0.0906428273718067
100450,0.10486300558216285
100466,0.1213859366812652
100483,0.09240173022095148
100484,0.0743393461811092
100494,0.09864733918538689
100510,0.15609113541170855
100512,0.08620459811895827
100517,0.08813459339903046
100548,0.0849267298002274
100551,0.09622533436440955
100552,0.14870353105156597
100553,0.10255502266828966
100561,0.11108509722725539
100568,0.14294152328106285
100569,0.08783809200901414
100591,0.12240517845810722
100592,0.0669437612028922
100602,0.1254527326654172
100607,0.10282755735781983
100613,0.11747101062077227
100617,0.09423891131424841
100618,0.11520661477011164
100622,0.1891019052119324
100625,0.14824249139838477
100677,0.10469526147425046
100699,0.0943497295257026
100702,0.1553157877693373
100711,0.10753690277117499
100729,0.1720044392400784
100740,0.1374603774943167
100744,0.12247477356252882
100745,0.12083698649713202
100747,0.11428391764648305
100751,0.1374736624615666
100752,0.11714463455538969
100753,0.17144491959071037
100754,0.1281890311814859
100760,0.14358530037871817
